Country_Code,Country,Continent,GDP_Per_Capita,Population,Medals2010,AllStars2010,AllNBA2010,Medals2014,AllStars2014,AllNBA2014,Medals2019,AllStars2019,AllNBA2019,Medals2023,AllStars2023,AllNBA2023
USA,United States,North America,85373,339 418 820,26,49,39,27,57,40,12,21,14,3,8,6
AUS,Australia,Oceania,66589,26781169,25,0,0,33,0,0,31,0,2,25,0,2
CAN,Canada,North America,54866,38851774,10,0,0,22,1,0,16,0,0,21,2,1
CHN,China,Asia,13140,1425220000,42,0,0,34,0,0,32,0,0,28,0,0
ESP,Spain,Europe,34045,47418269,46,3,4,76,9,11,55,3,4,43,0,0
FRA,France,Europe,47206,64808385,31,2,4,43,5,11,27,3,7,22,3,7
GER,Germany,Europe,54291,83294145,3,0,0,10,0,0,8,0,0,14,0,0
ITA,Italy,Europe,39580,58870085,8,0,0,12,0,0,14,0,0,20,0,0
JPN,Japan,Asia,32477,123294472,12,0,0,19,0,0,16,0,0,22,0,0
SLO,Slovenia,Europe,34727,2119675,16,1,1,22,1,1,26,5,5,28,5,5
ARG,Argentina,South America,12812,45000000,75,0,0,68,0,0,86,0,0,69,0,0
SRB,Serbia,Europe,12382,6900000,48,0,0,52,0,0,54,6,6,66,6,6
LTU,Lithuania,Europe,28407,2800000,15,0,0,22,0,0,37,0,0,44,3,2
BRA,Brazil,South America,11352,212000000,20,0,1,34,0,1,14,0,1,8,0,0
GRC,Greece,Europe,23966,10700000,56,0,0,52,8,13,49,8,13,57,8,13
RUS,Russia,Europe,14391,146000000,20,0,0,30,0,0,14,0,0,0,0,0
