Country_Code,Country,Continent,GDP_Per_Capita,Population,Medals2008,AllStars2008,AllNBA2008,Medals2012,AllStars2012,AllNBA2012,Medals2016,AllStars2016,AllNBA2016,Medals2020,AllStars2020,AllNBA2020
AUS,Australia,Oceania,66589,26 781 169,28,0,2,33,0,0,31,0,2,32,0,0
CAN,Canada,North America,54866,38 851 774,0,0,0,0,0,0,0,0,0,0,0,0
CHN,China,Asia,13140,1 425 220 000,43,8,5,40,0,0,20,0,0,0,0,0
ESP,Spain,Europe,34045,47 418 269,114,9,7,82,9,10,106,6,4,82,9,7
FRA,France,Europe,47206,64 756 385,0,0,0,40,6,4,60,6,4,47,3,11
GER,Germany,Europe,54291,83294145,7,15,12,0,0,0,0,0,0,14,0,0
ITA,Italy,Europe,29958,58870085,0,0,0,0,0,0,0,0,0,8,0,0
JPN,Japan,Asia,32477,123294472,0,0,0,0,0,0,0,0,0,14,0,0
SLO,Slovenia,Europe,34727,2119675,0,0,0,0,0,0,0,0,0,8,5,5
USA,United States,North America,85373,339 418 820,43,108,127,36,112,132,28,73,64,19,45,45
ARG,Argentina,South America,12812,45 000 000,130,2,2,110,0,0,91,2,2,68,0,0
SRB,Serbia,Europe,12382,6 900 000,0,0,0,0,0,0,61,6,6,0,0,0
LTU,Lithuania,Europe,28407,2 800 000,35,0,0,50,0,0,46,3,3,0,0,0
BRA,Brazil,South America,11352,212 000 000,0,0,0,54,0,1,43,0,0,0,0,0
GRC,Greece,Europe,23966,10 700 000,46,0,0,0,0,0,0,0,0,0,0,0
RUS,Russia,Europe,14391,146 000 000,23,1,3,27,1,3,0,0,0,0,0,0
